LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Studienfach,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen
357.107,Mathematik 1,UE,Präsenz,Corinna Perchtold,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,35,34,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.108,Mathematik 1,UE,Präsenz,Veronika Pillwein,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,35,32,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
357.109,Mathematik 1,UE,Präsenz,Veronika Pillwein,2024W,"3,00","2,0",Do. 24.10.24 13:45 - 15:15,35,31,32.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in der Übung bekanntgegeben,Nein,keine
326.700,Mathematik und Logik,KV,Präsenz,Wolfgang Windsteiger,2024W,"6,00","4,0",Di. 22.10.24 16:15 - 17:00,200,157,48.0,German,I. Symbolisches Rechnen,Wolfgang.Windsteiger@risc.jku.at,"Grundlagen der Mathematik, Statistik und formaler Methoden",B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Klausur,"Die Vorlesung ist nach dem ""flipped classroom""-Konzept ausfgebaut: Theorieinhalte werden über Videos im Selbststudium vermittelt. Anschließend gibt es pro Woche einen Präsenztermin für Fragen und weiterführende Beispiele aus den Unterlagen, die in den Videos nicht im Detail präsentiert werden. Ergänzend dazu eine Übungsveranstaltung.
Freiwillige Fragen zur Selbstkontrolle via Moodle.
Moodle Online-Forum.",Deutsch,"Vorlesungsskript
Präsentationsunterlagen Videos
Alle Materialien online via Moodle.",Nein,
334.002,Physikalische Grundlagen der Werkstoffe,KV,Präsenz,Bernhard Sonderegger,2024W,"3,00","2,0",Mo. 28.10.24 12:00 - 13:30,250,148,13.0,German,I. Metallische Konstruktionswerkstoffe,imk@jku.at,Pflichtfächer,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2023W,Klausur,Frontalunterricht mit begleitenden Vorlesungsungsunterlagen (Präsentationen) ,Deutsch,"Weißbach: Werkstoffkunde
Bargel/Schulze: Werkstoffkunde
Seidel/Hahn: Werkstofftechnik
Reissner: Werkstoffkunde für Bachelors
Roos/Maile: Werkstoffkunde für Ingenieure
Fischer/Hofmann/Spindler: Werkstoffe in der Elektrotechnik
Menges, Haberstroh, Michaeli, Schmachtenberg: Menges Werkstoffkunde Kunststoffe ",Nein,Werden in Vorlesung gegeben.
379.022,Polymer Extrusion and Compounding 1: Process Technologies,VL,Präsenz,Alexander Hammer,2024W,"3,00","2,0",Mi. 23.10.24 15:30 - 17:00,70,30,15.0,English,I. Polymer Proc. and Digital Transform.,elisabeth.puehringer@jku.at,(*)Polymer Processing,M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Technologies and Science (PTS) 2022W,(*)Written examination,,Englisch,"(*)Tadmor Z., Gogos C.G.: Principles of Polymer Processing. John Wiley, 2nd Edition 2006Hensen, F.: Plastics Extrusion Technology. Hanser Verlag, 2. Auflage 1997Contor, K.: Blown Film Extrusion. Carl Hanser, 2. Auflage 2011Kanai, T.: Campell, G.A.: Film Processing. Carl Hanser, 1999",Nein,"(*)It is strongly recommended to join also the lecture ""Polymer Extrusion and Compounding 1: Process Technologies"" (UE, Exercise) "
379.026,Polymer Injection Moulding 1: Machine Engineering,VL,Präsenz,Klaus Straka,2024W,"3,00","2,0",Mi. 23.10.24 13:45 - 15:15,60,27,14.0,English,I. Polymer Proc. and Digital Transform.,,Wahlfächer (Fachvertiefungen),M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Technologies and Science (PTS) 2023W,(*)Written exam,,Englisch,"(*)Injection Molding Machines - A User´s Guide 4th Edition, Friedrich Johannaber, Carl Hanser Verlag 2008Injection Molding Handbook, Rosato, 3rd Edition, Kluwer Acacemic Publishers 2000",Nein,
379.028,Polymer Injection Moulding 2: Process Technologies,KV,Präsenz,Klaus Fellner,2024W,"3,00","2,0",Di. 22.10.24 13:45 - 17:00,35,14,10.0,English,I. Polymer Proc. and Digital Transform.,,(*)Polymer Processing,M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Technologies and Science (PTS) 2023W,(*)Written exam,,Englisch,"(*)Injection Molding - Technology and Fundamentals, James L. White, Hanser Verlag",Nein,
379.033,Polymer Processing Technologies,VL,Präsenz,Gerald Roman Berger-Weber,2024W,"3,00","2,0",Do. 31.10.24 08:30 - 10:00,20,18,14.0,German,I. Polymer Proc. and Digital Transform.,ursula.stritzinger@jku.at,(*)Advanced Polymer Technologies,M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Sustainability and Plastics Management (SPM) 2024W,,,,,Nein,
531.059,Preparation Course in Mathematics for AI,VK,Präsenz,Jan-Michael Holzinger,2024W,"1,00","2,0",Letzter Termin vorbei,450,351,5.0,English,A. MINT Didaktik,jan-michael.holzinger@jku.at,Not available,,,,,,,,,,
344.V01,Preparation Course in Python Programming for new AI Students,VK,Fernstudium,Christian Huber,2024W,"1,00","2,0",Letzter Termin vorbei,85,84,4.0,English,I. Comp. Perception,mario.kahlhofer@jku.at,Not available,,,,,,,,,,
339.019,Principles of Programming Languages,KV,Präsenz,Herbert Prähofer,2024W,"3,00","2,0",Do. 24.10.24 15:30 - 17:00,50,68,13.0,English,I. Systemsoftware,herbert.praehofer@jku.at,(*)Major Subject,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2021W,(*)Written exam at the end of the semester as well as solutions to the programming assignments.,"(*)Slide-based presentation, exercises","Englisch (wenn erwünscht), ansonsten Deutsch",(*)see http://ssw.jku.at/Teaching/Lectures/POPL/,Nein,(*)see http://ssw.jku.at/Teaching/Lectures/POPL/
190.105,Privatrecht,VU,Präsenz,Erika Wagner,2024W,"4,00","4,0",Di. 29.10.24 17:15 - 18:00,120,98,6.0,German,I. Zivilrecht,andreas.riedler@jku.at,Allgemeines Technikrecht,M1 - Master 1. Jahr,Rechtswissenschaften,Johannes Kepler Universität Linz,Masterstudium Recht und Wirtschaft für Techniker/innen 2024W,"Klausur, freiwillige Zwischentests.","Vortrag, Stream, DVD.",Deutsch,,Nein,
190.817,Schuldrecht Besonderer Teil - Vertragliche Schuldverhältnisse,KS,Präsenz,Martina Schickmair,2024W,"2,00","2,0",Mo. 25.11.24 13:45 - 15:15,200,139,22.0,German,I. Zivilrecht,zivilrecht@jku.at,Zweiter Studienabschnitt,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2024W,"Die Beurteilung erfolgt auf Grundlage automatisierter Computer-Tests über den gesamten Stoff der Lehrveranstaltung. Im Präsenzstudium werden während des laufenden Semesters vier bis sieben derartige Tests angeboten; die genaue Anzahl der Tests sowie der jeweils maßgebliche Stoffumfang werden zu Beginn der Lehrveranstaltung bekanntgegeben. Das schlechteste Ergebnis wird für die Beurteilung nicht herangezogen. Im Multimediastudium werden die Anzahl und näheren Modalitäten der Tests zu Beginn der Lehrveranstaltung bekanntgegeben. 
Beurteilung: Teilnahme an allen oder an der um eins verminderten Anzahl an angebotenen Tests und mindestens die Hälfte der Fragen der für die Gesamtbeurteilung maßgebenden Tests richtig beantwortet = „mit Erfolg teilgenommen“ weniger als die Hälfte der Fragen richtig beantwortet = „ohne Erfolg teilgenommen“ Studierende, die auf dieser Grundlage mit „ohne Erfolg teilgenommen“ beurteilt wurden, haben das Recht, die Lehrveranstaltungsprüfung in dem auf die Lehrveranstaltung folgenden Semester bis zu zweimal zu wiederholen. Jede Wiederholung erfolgt in Form eines automatisierten Computer-Tests über den gesamten Stoff der Lehrveranstaltung. Für die Beurteilung „mit Erfolg teilgenommen“ muss mindestens die Hälfte der Fragen richtig beantwortet werden. ",Vortrag mit interaktiven Elementen,Deutsch,"Die jeweils aktuelle Studienliteratur wird zu Beginn der Lehrveranstaltung bekanntgegeben. 
Multimediastudium: Medienkoffer Bürgerliches Recht (aktuelle Fassung) ",Nein,
379.032,Smart Production Management,KV,Präsenz,Jürgen Miethlinger,2024W,"3,00","2,0",Di. 05.11.24 08:30 - 17:45,35,14,5.0,German,I. Polymer Proc. and Digital Transform.,j.miethlinger@lenzing-plastics.com,(*)Advanced Electives in Sustainability and Plastics Management,M2 - Master 2. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Engineering and Science 2024W,(*)Final project report and written examination,(*)Lectures about selected topics based on industry experience; project work and presentations,Englisch,,Nein,
256.007,Software Business,KV,Präsenz,Johannes Schrefl,2024W,"6,00","4,0",Di. 29.10.24 15:30 - 20:30,30,30,7.0,German,I. WI Information Engineering,johannes.schrefl@jku.at,Spezialkompetenz Wirtschaftsinformatik,M - Master,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2024W,"Die Lehrveranstaltung hat immanenten Prüfungscharakter. Beurteilungsgrundlage sind neben schriftlicher Klausur insbesondere die aktive Mitarbeit, sowie die Vorbereitung entsprechender Fallstudien bzw. Vorträge.","Vortrag, Präsentationen, Fallstudien",deutsch/englisch,"Basisliteratur:
Shapiro, C., & Varian, H. R. (1999). Information of Rules - A Strategic Guide To the Network Economy. Boston: Harvard Business School Press.
Gawer, A., & Cusumano, M. A. (2002). Platform leadership: How Intel, Microsoft, and Cisco drive industry innovation. Boston: Harvard Business School Press.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,
343.324,Software Engineering,VO,Präsenz,Alexander Egyed,2024W,"3,00","2,0",Mi. 23.10.24 10:15 - 11:45,200,198,13.0,English,I. Software Systems Engineering,alexander.egyed@jku.at,Software,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,Klausur,,English,,Nein,
339.160,Softwareentwicklung 1,VO,Präsenz,Hanspeter Mössenböck,2024W,"3,00","2,0",Mo. 28.10.24 08:30 - 10:00,425,312,13.0,German,I. Systemsoftware,hanspeter.moessenboeck@jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2024W,Klausur am Semesterende,Folienvortrag mit Beispielen an der Tafel.,Deutsch,"Basisliteratur:  
Mössenböck, H.: Sprechen Sie Java? Eine Einführung in das systematische Programmieren. dpunkt.verlag, Heidelberg, in der aktuellen Auflage.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,Für nähere Informationen siehe http://ssw.jku.at/Teaching/Lectures/
339.360,Special Topics,KV,Präsenz,Herbert Prähofer,2024W,"3,00","2,0",Do. 14.11.24 17:15 - 19:45,50,53,9.0,English,I. Systemsoftware,herbert.praehofer@jku.at,(*)Area of Specialization,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2021W,(*)See course descriptions. ,(*)See course descriptions. ,Englisch,(*)See course descriptions. ,Ja,(*)None.
339.366,Special Topics,KV,Präsenz,Dietrich Birngruber,2024W,"1,50","1,0",Fr. 13.12.24 13:45 - 17:00,35,43,3.0,English,I. Systemsoftware,sec@ssw.jku.at,(*)Area of Specialization,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2021W,(*)See course descriptions. ,(*)See course descriptions. ,Englisch,(*)See course descriptions. ,Ja,(*)None.
339.367,Special Topics,KV,Präsenz,Blagoj Ristevski,2024W,"1,50","1,0",Di. 26.11.24 15:30 - 18:00,50,50,3.0,English,I. Systemsoftware,sec@ssw.jku.at,(*)Area of Specialization,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2021W,(*)See course descriptions. ,(*)See course descriptions. ,Englisch,(*)See course descriptions. ,Ja,(*)None.
238.221,Statistik für Sozial- und Wirtschaftswissenschaften,KS,Präsenz,Wolfgang Rannetbauer,2024W,"3,00","2,0",Mi. 23.10.24 18:00 - 18:45,200,125,14.0,German,A. Datengewinnung und Datenqualität,wolfgang.rannetbauer@jku.at,Pflichtfächer,B1 - Bachelor 1. Jahr,Statistik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2023W,Hausübungen und Klausur ,"Vortrag durch den Lehrenden 
Diskussion der Hausübungen
eigenständiges Arbeiten mit Daten in EXCEL",Deutsch,"Quatember, A. (aktuelle Auflage). Statistik ohne Angst vor Formeln. Pearson, München",Nein,EXCEL-Lern- und Simulationsdateien für manche Hausübungen werden zur Verfügung gestellt 
269.031,Strategisches Management: Vertiefung,IK,Präsenz,Tobias Braun,2024W,"3,00","2,0",Mi. 27.11.24 10:15 - 11:45,40,39,6.0,German,I. Strategisches Management,ism(at)jku.at,Wahlfächer,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2024W,Klausur und Seminararbeit,"Zur Erreichung der Lehr- und Lernziele werden theoretische Inputs, Selbststudium sowie Übungen in Kleingruppen und Phasen der kritischen Reflexion und Diskussion eingesetzt.",Deutsch,,Nein,
353.054,System Administration,KV,Präsenz,Michael Roland,2024W,"3,00","2,0",Do. 24.10.24 10:15 - 11:45,48,48,14.0,English,I. Netzwerke und Sicherheit,michael.roland@ins.jku.at,(*)Major Subject,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2024W,"(*)Grading is based on participation in lectures and lab exercises, the oral presentation of example scenarios and a final written examination.
To pass the course, students must successfully pass all three sections. ",(*)Lecture including discussions as well as accompanying practical lab exercises; Students prepare and present a final example scenario. ,Englisch,"(*)Slides and text documents presented in the lectures 
""The Practice of System Administration"" by Thomas Limoncelli et al.  
Whitepapers and manuals of the vendors of server software used in the lab.",Nein,(*)https://www.jku.at/en/institute-of-networks-and-security/
359.002,Technische Mechanik 1,UE,Präsenz,Helmut Holl,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,35,35,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
359.003,Technische Mechanik 1,UE,Präsenz,Astrid Sabine Pechstein,2024W,"3,00","2,0",Fr. 25.10.24 10:15 - 11:45,35,34,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
359.004,Technische Mechanik 1,UE,Präsenz,Astrid Sabine Pechstein,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,35,20,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
359.005,Technische Mechanik 1,UE,Präsenz,Mario Kunzemann,2024W,"3,00","2,0",Fr. 25.10.24 10:15 - 11:45,35,23,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
359.006,Technische Mechanik 1,UE,Präsenz,Alexander Humer,2024W,"3,00","2,0",Fr. 25.10.24 08:30 - 10:00,35,34,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
359.007,Technische Mechanik 1,UE,Präsenz,Alexander Humer,2024W,"3,00","2,0",Fr. 25.10.24 10:15 - 11:45,35,35,20.0,German,I. Technische Mechanik,,Pflichtfächer,B1 - Bachelor 1. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2020W,Schriftliche Überprüfungen,Tafelvortrag,Deutsch,"F. Ziegler, Technische Mechanik fester und flüssiger Körper; P. Hagedorn: Technische Mechanik I, II, III",Nein,keine
370.006,Technische Mechanik 3,UE,Präsenz,Thomas Kordik,2024W,"3,00","2,0",Do. 31.10.24 13:45 - 15:15,35,38,15.0,German,I. Robotik,thomas.kordik@jku.at,Pflichtfächer,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2022W,Schriftliche Klausur,"Vortrag durch Lehrveranstaltungsleiter, PowerPoint Präsentation, Tafel",Deutsch,Skriptum,Nein,keine
379.013,Technologien der Polymerverarbeitung 1: Einführung,VL,Präsenz,Gerald Roman Berger-Weber,2024W,"2,50","2,0",Mi. 23.10.24 12:00 - 13:30,80,81,13.0,German,I. Polymer Proc. and Digital Transform.,,Kunststofftechnik und Kreislaufwirtschaft,B2 - Bachelor 2. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Bachelorstudium Nachhaltige Kunststofftechnik & Kreislaufwirtschaft 2024W,Schriftliche Prüfung am Ende der Lehrveranstaltung,Vorlesung,"Deutsch, wahlweise Englisch","Hopman, Greif und Wolters (2021): Technologie der Kunststoffe. Lern- und Arbeitsbuch für die Aus- und Weiterbildung
Hopman, Michaeli (2017): Einführung in die Kunststoffverarbeitung
Bonten (2020): Kunststofftechnik.Einführung und Grundlagen 
Bird, Steward and Lightfoot (1960, 2007): Transport Phenomena
Mc Kelvey (1962): Polymer Processing
Middleman (1977) Fundamentals of Polymer Processing
Fenner (1979): Principles of Polymer Processing
Tadmor, Gogos (1979, 2006): Principles of Polymer Processing
Bernhardt, Tucker (1989): Fundamentals of Computer Modeling for Polymer 
Baird; Dimitris (1989): Polymer Processing, Principles and Design
Agassant, Avenas, Sergent, Carreau (1991) Polymer Processing, Principles and Modeling
Osswald et al. (2006): Polymer Processing. Modeling and Simulation 
Rauwendaal (2001): Polymer Extrusion
Osswald, Hernandez-Ortiz (2006): Polymer Processing, Modeling and Simulation
Chang Dae Han (2007): Rheology and Processing of Polymeric Materials ",Nein,Diese Lehrveranstaltung wird in Abstimmung mit den Studierenden wahlweise in deutscher oder englischer Sprache abgehalten. Zumindest werden Unterlagen oder Buchempfehlungen jeweils in deutscher und englischer Sprache zur Verfügung gestellt. Die Prüfung kann wahlweise in deutscher oder englischer Sprache absolviert werden. 
379.015,Technologien der Polymerverarbeitung 3: Modellierung,VL,Präsenz,Mohammadreza Aali,2024W,"2,50","2,0",Di. 29.10.24 08:30 - 10:00,45,20,15.0,German,I. Polymer Proc. and Digital Transform.,,Kunststofftechnik und Kreislaufwirtschaft,B3 - Bachelor 3. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Bachelorstudium Nachhaltige Kunststofftechnik & Kreislaufwirtschaft 2024W,Schriftliche Prüfung,,Deutsch. Englisch,,Nein,Diese Lehrveranstaltung wird in Abstimmung mit den Studierenden wahlweise in deutscher oder englischer Sprache abgehalten. Zumindest werden Unterlagen oder Buchempfehlungen jeweils in deutscher und englischer Sprache zur Verfügung gestellt. Die Prüfung kann wahlweise in deutscher oder englischer Sprache absolviert werden. 
150.030,Verfahrensrecht,KS,Präsenz,Walter Summersberger,2024W,"2,00","1,0",Mo. 28.10.24 08:30 - 10:00,100,11,3.0,German,"I. Finanz-, Steuerrecht u. Steuerpolitik",steuerrecht@jku.at,Wahlfächer,M1 - Master 1. Jahr,Rechtswissenschaften,Johannes Kepler Universität Linz,Masterstudium Steuerrecht und Steuermanagement 2024W,Die Beurteilung erfolgt in Form einer schriftlichen Lehrveranstaltungsprüfung. ,Die Lehrinhalte werden den Studierenden in Vortragsform vermittelt. Die theoretischen Grundlagen werden anhand von praktischen Fällen und Beispielen gefestigt.,Deutsch,"Literaturempfehlungen werden im Kurs bekanntgegeben. Ergänzend werden zur Klausurvorbereitung die einschlägigen Kapitel aus der jeweils aktuellen Auflagen von JKU Tax, Steuerrecht, empfohlen.",Nein,
140.125,Vergaberecht,VO,Präsenz,Michael Schilchegger,2024W,"2,00","1,0",Fr. 08.11.24 09:00 - 12:30,50,22,2.0,German,I. Verwaltungsrecht u. -lehre,vwrecht@jku.at,Allgemeines Technikrecht,M1 - Master 1. Jahr,Rechtswissenschaften,Johannes Kepler Universität Linz,Masterstudium Recht und Wirtschaft für Techniker/innen 2024W,Überblick über Grundstrukturen und zentrale Rechtsprobleme des Vergaberechts. Vorrang für das Verständnis der juristischen Fragestellungen vor Detailwissen. Beurteilung praktischer Fallkonstellationen nach Inhalt und Verfahren.,"Interaktive Vorlesung im Hörsaal oder Cyber-Lehrveranstaltung kombiniert mit Einführung, Diskussionen, Stoffwiederholungen und schriftlichen Lehrveranstaltungsprüfungen im Hörsaal.",Deutsch,,Nein,"Die Beurteilung der LVA-Prüfung erfolgt auf der Grundlage einer Klausurarbeit am Ende des Semesters. Zu Beginn des Folgesemesters wird eine Nachklausur angeboten, an der Studierende, die negativ beurteilt wurden, oder die ihre positive Beurteilung verbessern wollen, teilnehmen können."
369.009,Wahrscheinlichkeitstheorie und stochastische Prozesse,KV,Präsenz,Dmitry Efrosinin,2024W,"3,00","2,0",Mi. 23.10.24 08:30 - 10:00,130,25,16.0,German,I. Stochastik,,Pflichtfächer,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik (ELIT) 2023W,schriftliche und/oder mündliche Prüfung,Tafel und Folienvortrag,Deutsch,Vorlesungsfolien,Nein,
300.950,Wissenschaftliches Schreiben und Layouten anhand von LaTeX 2,KV,Präsenz,Markus Jäger,2024W,"1,50","1,0",Fr. 17.01.25 13:45 - 15:15,50,0,5.0,German,Studienleitung TN,markus.jaeger@jku.at,Not available,,,,,,,,,,
